     40/99     3.22G   0.03935   0.02971  0.003238    0.0723         5       416    0.7505    0.8141    0.8403    0.5047   0.02915   0.01409  0.003308
     41/99     3.22G   0.03712   0.02942  0.003868   0.07041         9       416    0.8266    0.8485    0.8906    0.4946   0.03028   0.01319   0.00318
     42/99     3.22G   0.03695   0.03126  0.004246   0.07245        11       416    0.7527    0.8412    0.8263    0.4262   0.03253   0.01328  0.003259
     43/99     3.22G   0.03771   0.03068  0.003619   0.07201         7       416    0.7135    0.8446    0.8592    0.5095   0.03402   0.01366  0.003236
     44/99     3.22G   0.03609   0.02871  0.003106    0.0679         8       416    0.6778    0.8671    0.7912    0.5004   0.03008   0.01271  0.003369
     45/99     3.22G   0.03608    0.0317   0.00435   0.07214        13       416    0.6718    0.9196    0.8474    0.5807   0.02823   0.01296  0.003366
     46/99     3.22G   0.03563   0.02896  0.005273   0.06986        13       416    0.7491    0.8566    0.8552     0.544   0.03285   0.01296  0.004056
     47/99     3.22G   0.03395   0.02468  0.003907   0.06254         6       416    0.7061    0.8778    0.8182    0.5299   0.03004   0.01298  0.004144
     48/99     3.22G   0.03722   0.03242   0.00429   0.07392        31       416     0.817    0.8107    0.8508    0.5083   0.03068   0.01323  0.004444
     49/99     3.22G   0.03373   0.02989  0.003572    0.0672        16       416    0.8254    0.8499    0.8805    0.5935   0.02855   0.01321  0.002783
     50/99     3.22G   0.04245   0.02835  0.005929   0.07673         6       416    0.8452    0.8588    0.8974    0.5531   0.02978   0.01275  0.003158
     51/99     3.22G   0.04123   0.02818  0.003141   0.07255         7       416    0.7226    0.7669    0.8072    0.4557   0.03276   0.01326  0.003654
     52/99     3.22G   0.04222   0.02881  0.004209   0.07523         9       416    0.8619    0.8603    0.9068    0.5974   0.02804   0.01269  0.003906
     53/99     3.22G   0.03958   0.02788  0.003958   0.07142        12       416    0.8668    0.8748    0.9093    0.6339   0.02692   0.01232  0.003786
     54/99     3.22G   0.03874   0.02742  0.004891   0.07106        14       416    0.8047    0.9181    0.8948    0.5354   0.03009    0.0128  0.003899
     55/99     3.22G   0.03937   0.03405  0.003723   0.07715        26       416    0.8179    0.9039    0.9064    0.6381    0.0246   0.01241  0.003497
     56/99     3.22G   0.03642   0.02939  0.003171   0.06898         8       416    0.8501    0.8866    0.9108    0.6289     0.026   0.01226  0.003713
     57/99     3.22G   0.04058   0.02803  0.002865   0.07147        13       416    0.8662     0.904    0.9153    0.6424   0.02431   0.01245  0.003317
     58/99     3.22G   0.03981   0.02904  0.003172   0.07202        11       416    0.8518    0.8965    0.9108    0.6168   0.02743   0.01273  0.003245
     59/99     3.22G   0.03531    0.0281  0.004325   0.06773         6       416    0.8065    0.8453    0.8822    0.5744   0.02498   0.01228  0.003126
     60/99     3.22G   0.03904   0.03196  0.002805   0.07381        27       416    0.8607    0.9025    0.9029    0.6174    0.0238   0.01222  0.003471
     61/99     3.22G   0.03614   0.02967  0.004265   0.07007        20       416    0.8659    0.8895    0.9165    0.6504   0.02273   0.01222  0.003526
     62/99     3.22G   0.03772    0.0298  0.002939   0.07046        17       416    0.8468    0.8962    0.9201    0.6843   0.02181    0.0124  0.003354
     63/99     3.22G   0.03729   0.02654  0.002992   0.06682         5       416    0.8742    0.8792     0.911    0.5942   0.02566   0.01283  0.003481
     64/99     3.22G   0.03489   0.02944  0.003038   0.06737        12       416    0.8852    0.8702    0.9189    0.6569   0.02196   0.01239  0.003492
     65/99     3.22G    0.0324   0.02543  0.003044   0.06087        10       416    0.8634    0.8918    0.9227    0.6826    0.0216   0.01215  0.003319
     66/99     3.22G   0.03404    0.0273  0.003978   0.06532         7       416    0.8782     0.893     0.924     0.673   0.02273   0.01195  0.003252
     67/99     3.22G   0.03268   0.02801  0.003096   0.06379        10       416    0.8903    0.8834    0.9281    0.6482   0.02252   0.01206   0.00328
     68/99     3.22G   0.03356   0.02839  0.002844   0.06479        13       416    0.8872    0.8851    0.9193    0.6533   0.02347   0.01208  0.003721
     69/99     3.22G   0.03243   0.02683  0.003314   0.06257         6       416    0.8487    0.9181    0.9201    0.6686   0.02262   0.01202  0.003581
     70/99     3.22G   0.03274   0.02585  0.004566   0.06316         4       416    0.8696    0.8765    0.9192    0.6697   0.02256   0.01215  0.004047
     71/99     3.22G   0.03135   0.02641  0.003722   0.06149         7       416    0.8831     0.884    0.9183    0.6888   0.02187   0.01197  0.003414
     72/99     3.22G   0.03002   0.02704  0.002629   0.05969        11       416     0.847    0.9175    0.9177    0.6538   0.02348   0.01206   0.00349
     73/99     3.22G   0.03031   0.02903  0.003407   0.06274        10       416    0.8438    0.9069    0.9185    0.6436   0.02247   0.01201  0.003425
     74/99     3.22G   0.03196   0.02812  0.002296   0.06238        16       416    0.8621       0.9    0.9193    0.6922   0.02004   0.01221  0.003269
     75/99     3.22G   0.02944   0.02623  0.002528    0.0582         9       416    0.8876    0.8757    0.9197    0.6811   0.01908   0.01163  0.003804
     76/99     3.22G    0.0295   0.03027  0.002441   0.06221        16       416    0.8803    0.8654     0.919    0.7046   0.01941   0.01166   0.00361
     77/99     3.22G    0.0284   0.02512   0.00218    0.0557        10       416    0.8913    0.8745    0.9214    0.7088   0.02031   0.01168   0.00357
     78/99     3.22G   0.02985   0.02345  0.003784   0.05709         6       416     0.872    0.8951    0.9275    0.6907    0.0212   0.01173  0.003626
     79/99     3.22G   0.02843   0.02506  0.002615    0.0561         7       416    0.8811    0.8804    0.9267    0.6939   0.02127   0.01198  0.003469
     80/99     3.22G   0.03021   0.02845  0.002162   0.06082        30       416    0.8844    0.8825     0.923    0.6911   0.01982   0.01173  0.003037
     81/99     3.22G   0.02716   0.02482  0.003247   0.05522         7       416    0.8702    0.8897    0.9285    0.6941   0.02024   0.01153  0.002986
     82/99     3.22G   0.02747   0.02653  0.003055   0.05705         8       416    0.8598    0.8969    0.9232    0.7025   0.02001   0.01178  0.003102
     83/99     3.22G   0.02745   0.02372  0.002538   0.05371         4       416    0.8401    0.8911     0.916    0.6851   0.02033   0.01225  0.003443
     84/99     3.22G   0.02923   0.02463  0.003899   0.05775        12       416    0.8897    0.8564    0.9229    0.6987   0.02065    0.0121  0.003225
     85/99     3.22G   0.02741   0.02721  0.004023   0.05865        14       416     0.896    0.8982    0.9321    0.6879   0.02039   0.01189  0.003181
     86/99     3.22G   0.02751   0.02451  0.002017   0.05403        11       416    0.8973    0.8843    0.9347    0.6999   0.02097   0.01137  0.003016
     87/99     3.22G   0.02649   0.02437  0.001787   0.05264         6       416    0.8513     0.879    0.9142    0.6926   0.01991   0.01153   0.00365
     88/99     3.22G   0.02551   0.02467  0.002924   0.05311        17       416    0.8559    0.8916    0.9229    0.7071   0.01963   0.01129  0.003446
     89/99     3.22G   0.02669   0.02487  0.003812   0.05537         5       416    0.8523    0.9185    0.9282    0.6988   0.02009   0.01122  0.003233
     90/99     3.22G   0.02665    0.0281  0.001998   0.05675        17       416    0.8641    0.8935    0.9314    0.7022   0.02024   0.01124  0.003503
     91/99     3.22G   0.02437   0.02196  0.001498   0.04783         8       416    0.8419    0.9129    0.9288    0.7147   0.01871   0.01155  0.003428
     92/99     3.22G   0.02522   0.02282  0.001929   0.04997         3       416    0.8462    0.9088    0.9253    0.6944   0.01926   0.01171  0.003676
     93/99     3.22G    0.0253   0.02857   0.00295   0.05682        25       416    0.8754    0.8894    0.9288    0.7196   0.01887   0.01148   0.00353
     94/99     3.22G   0.02623    0.0239  0.002128   0.05226         9       416    0.8848    0.9041    0.9352    0.7258   0.01961   0.01144  0.002588
     95/99     3.22G   0.02508   0.02569  0.003044   0.05381        18       416     0.882    0.9056    0.9342    0.7263   0.01854   0.01128  0.002551
     96/99     3.22G   0.02459    0.0224  0.001612    0.0486         7       416    0.8666    0.9143    0.9287    0.7179   0.01858   0.01137  0.003117
     97/99     3.22G    0.0265   0.02583   0.00193   0.05426        16       416    0.8804    0.8837    0.9292    0.7217    0.0182   0.01172  0.003467
     98/99     3.22G   0.02491     0.025  0.002316   0.05222        18       416    0.8414     0.886    0.9135    0.6988   0.01884   0.01189  0.003812
     99/99     3.22G   0.02469   0.02388  0.002671   0.05124        10       416    0.8423    0.8652    0.8964    0.6807   0.01893   0.01199  0.004245
